,aX,aY,aZ,gX,gY,gZ
329,-26.877,7.776,2.95,4.0,0.338,2.322
330,-26.753,8.265,2.629,3.905,-0.337,2.261
331,-26.092,8.839,2.126,3.684,-1.251,2.158
332,-25.254,9.222,1.695,3.438,-1.896,2.072
333,-24.124,9.553,1.188,3.118,-2.47,1.982
334,-22.161,9.816,0.263,2.571,-3.071,1.868
335,-20.446,9.874,-0.512,2.077,-3.374,1.782
336,-18.603,9.802,-1.288,1.524,-3.552,1.697
337,-16.027,9.457,-2.49,0.717,-3.6,1.58
338,-14.097,9.017,-3.505,0.079,-3.49,1.484
339,-12.277,8.452,-4.386,-0.57,-3.269,1.379
340,-10.147,7.479,-5.267,-1.436,-2.854,1.217
341,-8.792,6.555,-5.851,-2.068,-2.481,1.078
342,-7.647,5.464,-6.416,-2.665,-2.066,0.918
343,-6.483,3.859,-7.092,-3.383,-1.47,0.667
344,-5.904,2.629,-7.412,-3.85,-1.014,0.451
345,-5.531,1.053,-7.441,-4.365,-0.442,0.134
346,-5.55,-0.024,-7.226,-4.366,-0.069,-0.118
347,-5.808,-0.967,-6.871,-4.366,0.242,-0.379
348,-6.527,-1.949,-6.287,-4.366,0.55,-0.72
349,-7.302,-2.447,-5.813,-4.366,0.702,-0.96
350,-8.207,-2.763,-5.306,-4.366,0.788,-1.172
351,-9.5,-2.921,-4.702,-4.366,0.797,-1.397
352,-10.506,-2.935,-4.204,-4.366,0.737,-1.515
353,-11.693,-2.734,-3.668,-4.366,0.557,-1.601
354,-12.402,-2.495,-3.361,-4.366,0.365,-1.598
355,-12.943,-2.322,-3.112,-4.366,0.135,-1.54
356,-13.374,-2.217,-2.854,-4.118,-0.216,-1.393
357,-13.484,-2.236,-2.677,-3.884,-0.5,-1.243
358,-12.335,-2.825,-1.714,-2.877,-1.798,-0.432
359,-11.837,-2.873,-1.489,-2.684,-2.019,-0.276
360,-11.152,-3.089,-1.111,-2.426,-2.249,-0.089
361,-10.736,-3.256,-0.675,-2.203,-2.386,0.001
362,-10.233,-3.156,-0.34,-1.947,-2.5,0.056
363,-9.457,-2.72,-0.144,-1.604,-2.579,0.127
364,-8.844,-2.423,-0.081,-1.374,-2.562,0.191
365,-8.088,-2.207,0.062,-1.096,-2.447,0.28
366,-7.566,-2.14,0.168,-0.905,-2.305,0.335
367,-7.087,-2.116,0.22,-0.732,-2.118,0.376
368,-6.536,-2.174,0.283,-0.538,-1.811,0.404
369,-6.225,-2.26,0.364,-0.417,-1.552,0.399
370,-6.014,-2.342,0.493,-0.309,-1.283,0.37
371,-5.856,-2.404,0.694,-0.177,-0.924,0.298
372,-5.842,-2.389,0.843,-0.082,-0.664,0.226
373,-5.942,-2.303,1.044,0.043,-0.341,0.116
374,-6.11,-2.193,1.178,0.135,-0.123,0.032
375,-6.325,-2.049,1.293,0.223,0.071,-0.05
