,aX,aY,aZ,gX,gY,gZ
349,-9.313,-0.934,1.288,0.301,0.203,-0.174
350,-9.27,-0.934,1.255,0.305,0.222,-0.183
351,-9.242,-0.948,1.235,0.308,0.237,-0.188
352,-9.232,-0.948,1.216,0.31,0.254,-0.193
353,-9.213,-0.953,1.202,0.31,0.277,-0.198
354,-9.213,-0.962,1.207,0.311,0.293,-0.2
355,-9.218,-0.967,1.202,0.311,0.314,-0.201
356,-9.218,-0.967,1.192,0.312,0.328,-0.2
357,-9.232,-0.972,1.183,0.311,0.339,-0.199
358,-9.246,-0.982,1.178,0.313,0.348,-0.195
359,-9.256,-0.986,1.197,0.315,0.351,-0.193
360,-9.266,-0.991,1.192,0.317,0.35,-0.189
361,-9.285,-1.006,1.197,0.32,0.343,-0.185
362,-9.294,-1.006,1.197,0.323,0.333,-0.181
363,-9.313,-1.006,1.197,0.327,0.321,-0.178
364,-9.318,-1.006,1.202,0.331,0.299,-0.173
365,-9.318,-1.001,1.216,0.334,0.28,-0.169
366,-9.313,-1.001,1.216,0.337,0.26,-0.167
367,-9.299,-1.006,1.226,0.342,0.23,-0.164
368,-9.275,-1.001,1.235,0.344,0.207,-0.162
369,-9.237,-1.001,1.24,0.348,0.176,-0.161
370,-9.208,-0.996,1.25,0.352,0.154,-0.162
371,-9.165,-0.982,1.25,0.355,0.131,-0.162
372,-9.103,-0.977,1.255,0.359,0.103,-0.163
373,-9.055,-0.967,1.259,0.363,0.084,-0.165
374,-9.007,-0.967,1.269,0.366,0.066,-0.168
375,-8.94,-0.958,1.264,0.37,0.045,-0.171
376,-8.892,-0.958,1.259,0.371,0.031,-0.175
377,-8.844,-0.958,1.255,0.373,0.02,-0.181
378,-8.768,-0.958,1.25,0.374,0.009,-0.189
379,-8.724,-0.953,1.245,0.373,0.003,-0.196
380,-8.677,-0.953,1.231,0.371,-0.002,-0.203
381,-8.624,-0.948,1.221,0.367,-0.004,-0.215
382,-8.576,-0.943,1.221,0.361,-0.004,-0.224
383,-8.519,-0.943,1.211,0.353,-0.003,-0.236
384,-8.49,-0.939,1.207,0.345,-0.0,-0.245
385,-8.452,-0.929,1.188,0.337,0.002,-0.254
386,-8.399,-0.929,1.178,0.324,0.004,-0.265
387,-8.365,-0.929,1.183,0.313,0.004,-0.272
388,-8.332,-0.934,1.173,0.303,0.003,-0.28
389,-8.289,-0.924,1.168,0.289,-0.001,-0.288
390,-8.116,-0.929,1.164,0.249,-0.042,-0.308
391,-8.068,-0.943,1.178,0.24,-0.061,-0.313
392,-8.025,-0.953,1.178,0.234,-0.077,-0.316
393,-7.982,-0.972,1.197,0.229,-0.094,-0.319
394,-7.92,-1.001,1.197,0.224,-0.116,-0.325
395,-7.872,-1.02,1.192,0.222,-0.132,-0.328
396,-7.805,-1.049,1.183,0.221,-0.153,-0.334
397,-7.752,-1.073,1.173,0.222,-0.167,-0.339
398,-7.695,-1.092,1.168,0.224,-0.179,-0.344
399,-7.628,-1.12,1.164,0.23,-0.191,-0.351
400,-7.585,-1.14,1.173,0.236,-0.197,-0.357
401,-7.542,-1.168,1.178,0.243,-0.202,-0.363
402,-7.484,-1.202,1.192,0.255,-0.204,-0.372
403,-7.451,-1.221,1.192,0.265,-0.203,-0.379
404,-7.412,-1.255,1.197,0.282,-0.198,-0.388
405,-7.398,-1.274,1.192,0.295,-0.192,-0.396
406,-7.389,-1.298,1.192,0.309,-0.183,-0.403
407,-7.374,-1.326,1.183,0.328,-0.17,-0.413
408,-7.374,-1.346,1.164,0.343,-0.157,-0.42
409,-7.384,-1.365,1.149,0.357,-0.143,-0.428
410,-7.412,-1.393,1.135,0.375,-0.124,-0.437
411,-7.441,-1.408,1.12,0.387,-0.109,-0.444
412,-7.489,-1.417,1.101,0.403,-0.088,-0.451
413,-7.532,-1.432,1.068,0.413,-0.072,-0.457
414,-7.594,-1.451,1.044,0.422,-0.057,-0.461
415,-7.681,-1.48,1.015,0.431,-0.037,-0.465
416,-7.762,-1.489,0.986,0.437,-0.022,-0.467
417,-7.848,-1.513,0.967,0.442,-0.008,-0.469
418,-7.968,-1.528,0.929,0.445,0.011,-0.469
419,-8.064,-1.542,0.9,0.446,0.024,-0.468
420,-8.159,-1.551,0.871,0.446,0.036,-0.466
